SampleNumber,number of,AF3,F7,F3,FC5,T7,P7,O1,O2,P8,T8,FC6,F4,F8,AF4,Zeros,Zeros_brdo
161,1,3136.79486944,1029.10255730,1795.64102043,5427.94872045,2755.64102245,2093.71794414,7521.28205823,362.69229950,159.61537593,1006.66665979,7456.53846835,3711.02563992,3747.94871691,1280.89742965,235,203
107,24,6747.94872323,7131.66667279,5139.23077111,4901.02564242,6715.25641547,1805.89743076,7401.15385283,7165.51282670,4131.02564075,1006.28204441,6246.53846578,6050.00000383,3488.84615225,3963.58974297,120,213
187,76,7266.15385255,7912.17949497,1932.17948225,4461.41025683,8350.76923946,5278.46154062,7410.51282719,3909.99999931,2713.46153520,2288.97435481,8362.30770100,1923.71794379,7508.58975047,5970.89743951,88,110
70,129,1791.66666146,425.64101751,1752.56409729,6534.10256897,4996.79487340,7020.00000584,4513.07692364,6879.87180043,3555.25640880,4175.64102551,6337.05128650,7726.79487916,8312.30770093,4409.35897471,176,124
102,80,6358.71795317,71.02563220,5830.38461872,1489.10255827,4626.53846231,687.05127448,7260.76923717,6473.07692781,577.82050504,6096.66667056,7079.35898034,7180.38462157,8373.46154722,5323.20513050,223,217
174,176,148.20511952,3507.69230610,4873.97436030,2956.02563832,6198.58974769,3589.10256272,6502.69231249,7211.02564728,1452.05127615,1397.30768627,4573.33333403,7992.43590536,6806.66667209,123.71793997,206,248
72,123,7756.15385359,4792.56410375,6915.00000563,7346.92308346,5587.05128490,5826.53846488,7354.35898096,6926.15385186,3519.35897283,7034.48718540,3012.05127941,4848.58974484,3712.43589633,4445.51282093,204,128
17,64,8274.35898291,7235.51282684,5037.69230936,6588.58974853,871.66665951,2968.71794601,6614.61538962,7242.69231402,5002.69230929,6999.87180071,8220.89744431,6335.89744035,7748.20513564,6766.41026176,4,64
162,1,6279.10256841,1685.51281510,6811.53846696,7139.87180099,2362.05127802,8257.30770079,2923.46153569,2773.20512508,3922.94871726,3374.23076736,6684.23077438,3184.10256188,7988.20513613,7490.00000688,173,139
231,200,4639.23077007,7581.41026343,4658.58974443,4392.56410285,786.28204392,1318.71794254,1335.89742972,3866.15384532,484.35896637,1542.82050713,6422.82051741,3984.74358919,2769.74358662,738.71794129,34,235
105,169,3438.20512647,5163.20513015,2702.69230443,5660.51282350,4517.30769287,653.97435133,2039.74358509,6603.84615885,1426.79486582,3358.58974172,1217.56409618,2616.79486832,7135.76923689,717.43588994,207,177
241,103,5768.20513141,248.07691460,2105.25640574,3489.74358815,2361.41025238,5067.69230943,6772.05128741,847.94871073,4651.28205212,1955.89743104,5683.58974665,221.53845300,1189.35896790,6291.28205559,230,25
58,30,1337.82050664,1787.56409736,1086.92307026,1066.15383942,1942.56409770,1036.15383935,3544.74358829,5787.94872122,6279.10256841,8331.53847016,4915.76923216,1404.35896832,8187.82052116,6748.97436426,161,102
169,151,7157.69231388,846.41024919,4810.25641144,455.76922271,590.12819735,5779.74359301,3402.94871615,7402.69231437,8054.10257217,4555.25641089,6593.20513314,2027.69230297,1546.53845584,652.30768467,181,139
237,104,5024.48718116,1043.71794191,5472.82051540,5906.15384963,6388.46154298,4211.66666660,1493.84614801,2019.48717477,4059.48717907,8272.43590599,3902.30769155,95.76922195,2427.69230380,3291.28204927,236,63
21,255,6742.43590272,2137.69230325,5632.05128497,1371.92307081,8253.84616233,1974.74358495,729.74358231,3772.94871691,7153.07692920,2317.56409847,3014.35897172,158.84614516,5923.20513175,1048.33332653,150,64
