SampleNumber,number of,AF3,F7,F3,FC5,T7,P7,O1,O2,P8,T8,FC6,F4,F8,AF4,Zeros,Zeros_brdo
233,119,3020.89743333,3812.05128115,5986.66667035,3764.23076819,3134.35897200,6344.61538907,7484.87180175,7313.71795518,5232.30769440,818.07691578,4754.35897541,1718.46153311,3031.66666410,8116.79488000,89,73
18,97,648.07691544,1285.76922452,2633.84615045,5036.02564270,7948.97436683,651.66665903,1487.17948135,1829.74358461,7625.25641742,1032.17948037,4855.76923202,5774.74359294,3422.69230596,6522.05128685,73,7
7,160,4087.94871761,3478.07692141,5492.82051546,7822.17949476,7394.10257078,8337.94872664,3675.76922952,4411.92307727,7355.64103225,5913.20513175,3151.92307463,2404.35897047,8270.12821361,7832.69231527,158,225
229,158,6194.61538872,6859.74359531,4196.02564089,6879.87180043,6371.92308144,3815.76922987,7160.00000619,6588.07692801,5150.76923265,2109.10255959,8277.82052137,3821.02564013,6408.97436356,8190.00000834,254,177
22,134,5786.02564430,882.17948003,6547.30769718,5909.10256765,591.02563332,4950.00000146,322.30768397,3704.23076805,1973.33332854,3761.02563999,3012.82051018,5040.89743757,4787.05128317,760.89742854,151,93
53,30,14.74358078,1514.87178911,2379.61538066,3708.84615274,5784.74359301,6232.56410674,5928.07692662,1864.61537955,2366.53845758,1287.05127580,758.84614648,3438.33333160,6174.35897846,6339.48718394,21,82
247,113,7589.35898145,7663.71795595,724.74358231,6980.00000577,1192.69230123,6326.53846592,8118.84616205,1064.23076249,4473.46153895,57.56409367,602.94871024,3530.89743437,6252.17949142,2774.74358662,0,88
18,132,955.64101870,4161.02564082,6978.20513398,6908.20513384,2063.84614919,3926.41025572,5045.00000167,1769.99999472,2549.61538101,4770.12820624,6233.84615802,3755.25640922,4949.10256557,90.25640144,64,249
10,252,3726.66666556,5548.58974637,8287.05129060,2328.97435488,2360.12820110,861.66665951,5112.82051463,5960.51282413,1105.89742923,527.05127420,910.38460830,1255.51281419,2757.17948406,5049.61538629,152,186
51,84,3892.30769155,26.15383719,8218.71795713,7018.33333917,2665.76922744,4240.25641026,7149.35898048,3038.71794615,2277.69230353,4336.79487201,2917.56409972,3374.10256223,7403.97436565,2753.71794553,8,10
92,243,837.30768508,8168.58975186,1678.46153305,8050.89744396,1426.02563505,7987.94872587,5011.92307853,2121.28204677,5643.46154138,7351.15385269,7990.00000793,5500.38461803,63.58973470,147.82050414,41,167
211,28,4838.71794997,8213.33334175,5975.89743958,5579.10256689,5285.25641248,4236.79487180,5353.97436134,1833.20512307,2756.92307380,2289.35897019,7868.84616149,1946.15384129,1983.20512341,2831.28204830,47,149
187,56,3427.05128032,5507.94872059,6498.58974839,6578.20513314,1377.43589132,1218.46153207,6339.10256855,876.41024926,5041.02564270,2159.10255966,6891.79487736,4468.71794921,1454.61537871,4932.69230916,124,99
208,20,4464.35897485,5771.15384935,2942.17948440,2022.17948246,6557.94872282,8302.30770086,1059.87178814,1611.92307137,3012.05127941,200.64101710,4673.20512911,3700.89743472,1568.71794302,2813.97435592,159,119
224,208,2079.48717490,187.82050421,7577.69231471,841.92306970,7293.97436544,4666.41025732,203.33332479,1557.05127636,5918.71795227,1333.20512202,4029.23076875,3319.61538267,2987.43589480,8334.48718811,240,82
211,30,6100.76923466,7077.94872393,7326.28205782,6599.35897937,5175.76923272,6313.46154284,1404.87178883,734.74358231,6562.82051769,876.02563387,4622.17948795,7267.56410896,5237.82051491,2798.84615079,193,152
160,241,2827.17948420,6166.66667070,4554.61538524,8302.05129060,3314.35897235,4047.69230728,4648.33333417,7800.38462289,7232.43590376,596.28204357,855.51281336,753.84614641,4467.05128254,1078.58973685,154,222
37,175,6733.07692836,3337.82051088,7119.10257015,2695.51281725,2053.33332868,7625.12821229,7359.61539122,3881.41025565,5018.58974519,2914.48717664,6779.74359510,5073.46154020,6577.94872289,6201.15385026,39,64
54,56,6868.46154402,602.69229998,2949.10256133,4006.28205080,3574.87179342,4787.56410368,1557.43589174,8337.69231638,5984.87179856,8148.97436725,3468.97435731,7247.30769863,4320.64102578,1727.05127670,0,127
161,228,5123.07692496,7895.76923849,5610.12820798,7397.05128873,5563.58974637,4952.94871941,8248.20513669,7675.00000723,3468.07692141,4005.64102516,7787.05128956,4883.71795004,3032.05127948,577.05127427,134,10
51,132,6396.53846606,3346.66666472,4315.89743604,7555.00000702,981.53845459,3296.15384414,7025.64103155,1036.02563422,7635.12821229,4435.12820555,6933.58974929,2856.79486888,8123.58975179,4966.28205281,135,226
136,212,7958.58975145,6287.82051713,3745.51281947,4595.76923154,333.07691481,5463.71795129,7764.10257154,2189.10255973,4356.79487201,8106.66667487,2122.56409805,1763.84614857,4417.56410292,6185.76923487,83,20
130,169,7916.02564881,1867.56409750,8227.94872636,4202.94871788,2142.30768786,157.94870927,4057.17948677,7529.23077618,8173.58975193,1467.43589153,2324.87179078,2134.35896992,4916.92307832,3627.82051150,127,141
68,130,2299.48717539,325.89742756,3857.69230686,7456.66667348,7172.05128824,5075.38461713,7031.79487771,3304.74358773,4933.20512967,214.48717094,7238.58974992,4912.82051421,7197.56410882,76.53845272,206,104
