SampleNumber,number of,AF3,F7,F3,FC5,T7,P7,O1,O2,P8,T8,FC6,F4,F8,AF4,Zeros,Zeros_brdo
162,16,5623.46154138,5540.51282323,2841.28204830,348.58973532,5733.46154159,1419.61537864,1292.30768606,5260.89743806,7260.64103204,3016.02563839,1586.66666104,3103.33333091,139.48717081,2428.20512432,245,143
149,69,8096.53846967,6811.41026183,2981.66666396,3540.12820360,2242.94871371,5129.35897624,142.05127337,1168.71794219,5433.07692558,1106.79486513,6509.10256890,3668.46153721,2670.25640692,6179.48718359,249,172
221,192,6206.28205546,2888.07692016,259.99999153,3012.69230506,5585.76923362,5672.82051581,4380.76923105,3187.43589522,3333.58974165,4509.35897492,5032.17948885,1931.15384122,3524.23076771,8185.38462373,149,232
32,93,4751.66666771,3958.58974297,3140.64102328,3189.74358752,3445.64102391,1233.58973720,8039.10257210,7945.00000786,2519.48717581,6075.38461928,6542.69231256,5080.89743764,6617.69231270,2200.64102134,74,53
190,166,202.69229915,355.76922250,1247.43589112,8361.53847023,1153.58973706,7557.56410959,7126.66667279,6201.79487590,2798.97435592,1175.25640373,5834.74359308,6128.84615781,3595.76922938,3075.12820263,77,189
176,74,339.10255584,5471.28205386,8096.28205942,7277.43590383,7911.53846932,946.92306991,8271.02564958,1602.94871232,3961.92307630,516.53845362,6262.05128629,4133.97435870,2739.23076604,4259.35897436,239,179
157,234,1574.87178918,1044.48717268,1356.53845543,6504.87179967,7315.25641672,1291.02563478,750.51281308,675.25640269,367.94870975,503.46153054,893.46153138,4245.38461539,7877.43590515,7783.58975110,209,92
168,161,8198.58975193,5249.61538670,3186.02563881,5472.69231027,3948.33333271,2883.46153555,5678.07692614,7299.10257057,8253.71795720,2729.74358655,75.64101682,5930.89743945,3972.69230714,8056.79487986,208,143
213,211,7626.53846870,2389.87179091,3784.10256313,7415.64103232,2650.64102224,6953.46154416,1682.69230228,4092.17948684,2231.66666236,6867.05128761,2587.43589390,2455.64102182,1393.46153242,2467.43589369,93,245
152,12,5543.97436169,1713.20512286,4718.20512918,8293.97436753,5877.30769579,6565.76923571,3979.87179432,5612.30769523,1544.35896866,5665.00000299,3165.89743361,7735.89744327,8156.92308520,1099.23076256,84,68
237,199,7497.43590432,1154.23076270,8301.66667522,440.25640220,2085.12820055,741.02563359,5044.61538629,8332.43590606,7376.28205789,2054.35896971,6929.10256980,6539.74359461,3258.97435689,3023.71794615,246,207
40,255,6459.23077389,737.94871052,2683.58974026,3665.38461414,7024.35898027,7760.76923821,2840.51281753,5143.20513009,2713.46153520,1064.74358301,5445.12820763,3775.64102467,3009.74358711,6631.53846661,67,228
189,166,7759.87180231,1791.02563582,7902.94872567,4551.79487242,4576.41025711,4066.79487138,1846.15384109,467.43588945,962.56409562,8009.10257210,334.87178661,3930.76923008,6828.84615934,874.35896721,210,237
101,73,4386.53846182,6094.74359364,5531.28205400,1740.38461011,506.15383824,1314.87178869,5952.05128567,3892.94871719,3999.23076868,4645.76923161,4180.38461525,1848.46153339,816.02563373,5152.05128393,26,107
143,79,3279.99999792,1179.35896783,396.66665854,1167.69230116,5577.69231048,8246.41026489,1516.28204552,7750.89744334,4773.07692419,4859.10256543,4241.28205129,520.25640234,8107.30770051,5949.35897798,237,188
16,24,6700.76923598,7592.69231478,122.69229894,8083.97436711,7734.35898173,3438.33333160,7931.41026420,2293.07691891,7487.56410945,2679.35897103,2270.76922660,5177.56410451,5617.30769523,2788.58974047,145,200
225,74,1006.41024953,3713.46153735,2481.15384241,6957.94872372,2466.66666292,5357.82051519,6214.87179904,1442.82050685,5745.12820833,3876.53846078,4370.38461567,1763.07691780,7178.58974978,6173.33333744,105,97
2,118,1157.30768578,1854.61537955,2636.66666327,4078.84615350,816.53845425,5719.87179800,4041.92307651,4094.10256376,6828.20513370,5813.07692642,5731.92308005,5569.23077201,3858.33333250,3141.66666431,240,49
165,24,7920.76923856,2913.71794587,7216.79487805,7378.46154507,5027.69230936,1919.87178994,2675.25640692,6514.61538941,3993.97435842,5329.23077153,4411.28205163,7238.07692940,1639.87178932,5235.38461747,185,153
216,78,4973.97436051,3295.12820312,6925.76923647,7770.25641770,5416.66666917,2902.69230485,3333.71794678,1430.25640428,2559.74358613,1511.28204552,2017.05127733,431.92306887,4744.74359079,4085.25640991,60,217
76,108,593.58973588,1347.43589132,7973.33334119,843.97435175,3762.05128101,5022.69230936,5418.46154097,5916.79487534,7319.74359628,8102.30770044,1032.43589063,4764.35897547,5097.05128386,2723.46153520,179,89
219,112,8291.66667522,263.46153006,236.66665819,4190.51282038,1271.15383983,4691.66666757,7988.33334126,3592.43589605,8346.28205997,5946.53846516,4635.00000084,8077.43590557,5343.33333563,5039.48718116,1,168
93,123,5774.48718269,3551.28204983,5485.38461803,2374.10256015,7107.05128810,5758.58974679,4763.07692419,4172.94871781,3771.41025537,7485.25641714,3790.12820416,7986.92308485,180.25640164,324.48717115,175,151
101,197,6354.10256855,7276.15385255,250.25640178,4055.12820472,2377.69230374,4521.66666723,584.99999222,972.56409562,2479.61538087,4557.30769294,4196.66666653,2427.30768842,3700.38461421,155.64101696,164,166
111,33,860.25640310,3928.71794803,477.05127406,5030.51282218,7544.23077618,3517.43589591,2535.12820152,1424.87178890,8063.58975165,6096.02564492,2923.07692030,5122.82051470,195.38460677,6451.15385081,128,177
29,163,1835.38461025,5388.07692551,5774.35897756,3349.87179300,2218.71794441,1893.33332833,5901.53846502,3892.82051206,4817.17948836,6063.97436280,802.69230040,5228.58974568,6787.82051817,3911.15384546,32,37
133,198,4890.89743729,3800.76922980,8390.89744466,2605.89743243,1628.58973803,3018.20512557,6792.30769766,6039.48718331,1227.94871156,2129.10255959,4377.05128233,1180.38460886,1920.12820020,5050.25641193,181,37
170,74,3181.02563874,4487.82051331,4013.84615336,5917.69231124,4353.46153867,2917.05127921,6267.17949142,4513.84615441,2230.12820082,7843.07693065,1912.56409763,6752.69231298,4186.41025628,1634.10255855,29,143
96,135,7058.84615983,5.64101668,4539.61538524,3948.33333271,3033.84615128,4424.10256445,518.33332542,4508.71794928,6004.87179856,6555.89744077,6629.61538962,6156.41026044,8200.25641860,6548.71795359,31,179
200,143,551.02563318,741.66665924,2613.71794525,2608.07691961,8173.07693142,4870.51282184,4404.61538497,8179.48718783,6888.33333890,6830.00000549,6201.92308103,872.94871080,932.17948017,8316.02564965,187,96
53,125,5692.30769537,1661.02563554,1549.10255841,5071.92307866,6567.94872289,379.99999180,2466.92307317,6930.38462109,2062.94871330,1469.35896846,743.07691565,4756.79487284,1974.87179008,7115.76923682,149,181
208,64,1706.41025099,176.79486318,2251.41025218,7261.53846794,3148.07692072,3969.35897374,5953.58974721,5069.48718123,4002.43589688,643.07691544,5828.46154180,1258.07691676,6641.92308200,7630.38462255,212,57
111,182,1774.74358454,4395.64102592,861.28204413,4948.84615531,3772.56410153,2821.92307387,5475.12820770,3604.48717810,7520.76923772,2225.64102134,2398.58973970,7463.84616066,4362.94871816,3354.23076736,174,0
247,96,1587.17948155,7856.66667431,128.20511945,1199.61537816,815.25640296,6442.56410722,3046.92307436,6545.89744077,4065.64102523,3315.76922883,1613.07691752,4492.05128254,4323.46153860,2063.97435432,92,90
95,107,1282.43589119,6598.84615885,4822.56410375,6753.07692836,3683.84615267,5547.05128483,8315.64103426,168.46152985,4690.12820604,6482.56410729,-0.00000896,8279.35898291,3622.43589612,1750.12819985,75,200
129,117,397.94870982,6411.41026100,3773.33333229,3262.69230561,2773.71794559,3272.05127997,6082.05128595,1915.38461045,3728.33333223,1876.15384115,5769.10256730,5070.25641200,3380.12820326,5860.76923418,88,117
50,202,5468.07692565,4176.28205115,7877.69231541,1407.05127601,1813.33332820,4074.87179453,2298.20512411,3211.92307470,5780.51282378,3619.61538330,7711.41026371,7302.05128852,3523.58974206,4732.94871899,122,20
172,42,4656.41025725,8321.02564965,2207.30768800,6353.33333778,1381.66666063,5109.48718130,3942.30769169,7027.17949309,6599.35897937,6027.30769606,2314.99999590,3131.02563867,7428.71795546,917.05127497,57,180
14,70,6958.07692885,1906.79486687,6841.66667216,190.51281190,7120.00000605,431.41024835,8097.82052095,5943.84615746,2366.02563707,4847.82051408,7742.17949455,2889.10256126,7978.84616177,4047.56410215,59,179
200,109,5730.38461852,5831.79487513,927.94871093,3239.74358759,5636.02564395,5649.48718248,5318.07692537,7853.33334098,7821.41026399,732.56409513,5372.69231006,1352.05127594,7464.61539143,39.35896547,60,205
93,223,7832.30769989,5076.28205302,5864.35897777,8207.82052123,7683.20513551,1289.10255785,5156.15384810,5533.46154118,1081.92307019,3472.30769064,150.51281183,4002.43589688,7758.97436641,277.69229929,182,205
165,248,4000.51281996,2602.05127858,6447.05128671,3204.35897214,2232.05127782,2765.51281739,6818.20513363,151.41024773,7040.76923668,3373.20512633,6847.43590293,5686.53846460,1547.43589174,401.92306880,91,191
17,92,420.25640213,7222.05128838,1969.87179008,5910.51282406,2697.05127879,4846.53846279,2651.53845814,1413.71794275,4113.84615357,5928.46154201,1066.66665993,5992.94872164,1708.71794337,7321.92308346,88,14
240,25,7407.94872462,729.61537718,4554.35897499,4873.84615517,7130.51282663,8331.79488042,1646.79486631,7730.25641763,7171.15385234,6333.20513259,2444.61538080,6926.92308262,4771.79487291,6089.61538851,221,14
126,165,3266.53845946,7122.43590355,4241.66666667,4986.79487333,4194.61538448,6403.84615844,4390.51282079,5132.30769419,7152.43590355,3790.38461442,4476.92307741,446.66665861,5301.02564325,1249.48717317,167,210
71,213,8052.82052088,1244.35896797,6771.02564638,356.15383789,5148.71795060,7116.41026246,2354.10256008,7618.84616101,512.17947926,2158.33332889,2524.23076555,3004.23076659,2998.71794608,4848.33333459,106,95
173,10,4974.23077076,8371.02564978,3624.74358843,2062.17948253,8086.28205942,6658.33333841,4664.23077014,2111.92307241,8051.79487986,526.53845369,4889.10256543,2406.02563714,1231.53845515,5559.35897714,182,66
