SampleNumber,number of,AF3,F7,F3,FC5,T7,P7,O1,O2,P8,T8,FC6,F4,F8,AF4,Zeros,Zeros_brdo
153,72,5373.84615621,4248.71794872,6532.94872282,2691.41025315,7460.00000681,7767.05128949,373.84614565,7319.23077577,304.74358141,1731.15384081,7041.92308283,6421.53846613,7850.89744354,3627.43589612,15,77
48,135,1589.10255848,4578.33333403,4242.82051282,4619.74359051,3819.99999910,2868.84615093,34.87178598,6643.71795379,2331.79486777,5908.33333688,1872.05127705,1758.71794344,4786.28205240,7322.30769884,84,219
191,224,307.82050449,5117.69230950,4237.05128206,3101.53845911,8156.41026468,7788.97436648,6421.66667126,7813.07693065,1448.20512230,3202.94871573,2883.33333042,8370.00000876,3162.17948489,3322.94871601,59,101
198,191,2593.33332986,5077.05128379,7016.79487764,3705.25640908,6934.10256980,3713.58974248,4550.00000063,1532.56409680,7089.35898041,443.84614579,6202.56410667,7923.71795650,3145.76922841,5309.74359197,97,69
122,244,6032.56410632,1624.23076368,3493.07692148,5575.38461817,2772.17948406,8307.05129067,5686.92307998,3782.17948621,553.07691523,1926.79486687,1249.99999368,2801.66666361,4646.66666750,3494.23076764,74,143
9,68,1283.20512196,1070.76922403,2530.64102203,6623.71795372,4682.94871886,6926.79487750,1709.48717414,5581.53846439,6565.00000494,6174.48718359,5590.00000285,5191.66666869,5601.41025926,6548.20513307,52,83
130,198,4776.92307804,7643.07693024,7555.64103266,4600.64102641,4686.79487270,4409.74359009,67.43588861,5778.46154173,807.82050553,7095.64103169,754.48717206,2608.84615038,4685.00000091,6106.66667063,5,15
30,234,651.92306928,1038.20512140,8342.05129074,2377.69230374,3011.02563839,450.25640220,3649.48717824,3414.61538288,1128.33332674,6631.28205636,2947.05127928,4060.25640984,2054.35896971,6729.10256939,226,70
130,197,7434.48718623,1288.07691683,855.76922362,3137.56410021,6928.46154416,6453.20513286,891.92306984,7830.12821271,3411.28204948,6453.33333799,4830.64102690,4713.33333431,8134.61539282,4575.51282121,6,111
28,157,2595.64102217,4009.87179439,230.25640178,1500.76922494,2781.15384303,7610.89744299,6311.15385054,6583.71795366,1998.07691829,6444.48718415,7839.48718707,2075.38461080,1712.94871260,6473.58974832,129,96
3,255,4823.33333452,5040.12820680,7384.61539129,3945.64102502,1421.15384018,1415.76922480,5725.12820826,3803.20512724,3492.82051123,6235.00000417,1994.48717470,4366.53846182,2490.38461164,645.89742826,176,251
90,102,8143.07693135,2418.33332945,7921.66667445,7484.48718637,2457.94871413,4082.05128171,4444.23076965,1226.28204489,3166.66666438,810.51281322,2774.48717636,2251.53845730,3362.05128018,2182.17948281,41,164
100,193,686.41024884,4741.15384720,7415.89744257,5573.58974637,5816.66667001,1528.71794295,6298.71795303,7356.66667327,592.05127434,3284.74358773,3417.82051109,346.02563276,4104.99999973,6219.87179904,195,44
144,248,3040.38461282,6835.25641575,7606.41026350,4010.12820465,5013.46154006,2621.02563756,4707.30769328,6853.33333883,3808.71794782,5818.97436231,5871.79487520,484.48717150,357.05127379,2051.15384150,194,170
