SampleNumber,number of,AF3,F7,F3,FC5,T7,P7,O1,O2,P8,T8,FC6,F4,F8,AF4,Zeros,Zeros_brdo
71,107,2444.61538080,2928.58974081,3747.05128101,1623.46153291,627.69230005,66.28204246,7311.66667313,3296.41025440,191.41024780,6578.58974853,8001.53846946,2252.30768807,872.05127490,6012.94872170,65,24
222,46,2727.30768912,1121.15383956,5186.15384817,7858.20513585,8163.71795699,1246.66666028,6724.23077445,271.15383775,7148.07692920,1216.28204489,6625.51282552,4510.51282107,3450.25640859,4646.79487263,9,153
63,56,8297.17949573,2192.30768793,6998.84615969,3956.41025579,3050.76922820,7390.12821180,7332.56410910,2889.87179203,4485.76923126,856.79486464,4480.12820562,1655.12819964,3523.07692155,2981.28204858,223,255
61,56,8283.71795727,5449.10256668,3544.10256258,1265.64101932,2518.20512453,2201.28204698,499.23076131,1013.84614697,4929.48718095,4142.82051262,8193.84616219,1391.92307088,7583.84616094,912.94871086,206,115
118,126,4951.53846300,8059.74359781,6101.41026031,3761.66666563,2637.17948378,1568.58973790,24.35896540,3367.56410069,7738.07693045,4442.82051324,2029.23076451,6254.87179911,5793.20513147,2398.58973970,142,199
208,18,1182.69230123,6390.51282503,7127.05128817,6176.15385026,2496.92307324,5257.43589959,1049.87178807,2585.64102210,3914.35897367,536.15383831,6119.87179884,1604.23076361,5840.64102898,3319.87179293,189,136
137,40,3624.87179356,4949.61538608,7723.33334070,3892.17948642,4545.51282114,1856.02563596,4982.17948871,5050.38461706,4027.30769183,6319.87179925,7151.41026253,5598.33333619,1678.71794330,3936.79487110,201,219
44,85,2006.41025169,3281.66666459,3449.35897270,8185.76923911,5200.12820715,487.94870996,5846.28205469,517.94871003,2982.43589473,7401.92308360,7993.46154639,6697.43590265,5294.10256633,6378.07692760,35,119
8,129,1559.23076354,3482.05128046,6098.84615774,5496.53846418,3576.02563957,5208.20513022,7792.30769982,6119.35897832,4861.79487312,7984.35898228,2019.99999528,7056.41026239,4199.35897422,1490.64101981,124,33
131,125,7913.46154625,3480.64102405,7773.46154590,5517.94872066,5971.53846516,884.61537746,3756.28205024,5809.35897770,4838.58974484,8054.74359781,4106.02564075,2834.48717650,116.28204253,3006.02563839,209,68
161,61,2650.64102224,315.38460705,1457.05127615,7532.17949413,4533.84615448,4526.66666723,2866.15384324,3165.89743361,3655.25640901,1913.07691815,8339.23077792,1526.15384039,2803.84615079,3564.10256265,161,201
107,215,4394.35897464,6821.53846696,4666.02564193,8000.25641818,6666.79487694,5697.05128511,2947.94871517,5341.66666896,5524.74359246,7765.64103308,4083.46153812,6740.00000528,2243.97435474,441.41024835,78,139
218,231,994.61537774,2626.66666327,2856.92307401,6456.66667133,3606.53846015,681.28204371,2752.30768912,2487.69230394,4789.23077035,3123.58974123,5503.20513085,5051.02564270,4824.35897554,4932.05128351,24,6
142,109,6788.71795407,1449.61537871,391.41024821,2497.82050914,5905.00000348,7866.79487944,6697.94872316,5905.64102912,6039.61538844,6625.38462039,5084.61538636,4624.35897513,3018.07692044,1398.84614780,22,150
69,87,7297.30769877,212.43588889,5722.43590057,5297.17948941,4835.76923202,1098.07691641,486.53845355,5275.51282267,4433.20512863,7314.74359621,136.02563234,353.58973532,4957.82051435,6771.28205664,87,222
35,4,3957.56410194,158.97435029,159.23076055,3983.33333278,5902.82051630,5988.71795240,3262.94871587,657.56409499,2929.87179210,6977.30769808,7016.41026225,2456.66666285,113.84614509,4586.02564172,30,197
135,79,5696.92307998,2925.12820235,4278.07692315,5403.07692551,5531.28205400,5749.48718269,6736.15385144,1102.56409590,7185.64103183,4996.66666827,2467.94871420,4388.46153874,5391.66666910,1111.53845487,107,191
35,176,2604.35897089,3111.15384373,3521.79487027,2710.25640699,3116.92307449,991.15383928,1676.15384074,7586.15385325,2192.69230332,2660.64102231,4020.51282003,4415.00000035,392.05127386,5055.12820687,237,205
184,26,1537.17948142,3521.15384463,5371.53846390,2853.84615086,392.82050462,6386.28205580,6871.92308249,7899.74359746,1415.64101967,963.46153152,7463.71795553,3399.23076743,5313.71795095,2741.66666347,203,46
174,250,6709.61538983,3492.05128046,8393.33334209,5138.20513009,2045.25640560,2665.12820180,3786.02564006,4951.53846300,5319.48718178,3430.12820339,551.92306907,881.15383900,2098.07691849,3854.48717866,198,77
236,38,7986.79487972,8042.43590550,2878.07692016,7043.58974950,943.84614683,4197.82051269,5889.10256758,1932.82050789,6438.97436363,113.58973484,4028.58974311,940.12819811,1064.61537788,6050.64102947,250,131
57,11,720.38460788,3086.15384373,6113.20513217,4633.46153930,7447.05128880,2237.43589320,8203.97436732,5380.89743826,5755.38461858,6443.84615851,2701.79486853,7225.51282684,2914.74358690,6339.23077368,160,227
93,87,2567.69230415,3813.20512731,2279.74358558,8121.02564923,7460.64103245,5277.30769447,4622.43589820,2899.48717664,153.58973491,6582.30769725,5146.28205316,7912.05128984,1933.46153353,1289.61537837,32,176
104,22,4277.05128212,77.82050400,1269.10255778,6393.58974811,3224.35897221,8345.89744459,5590.00000285,3971.66666611,3687.17948600,910.89742881,278.20511980,995.76922389,2341.15384213,5336.41025871,127,211
150,221,4072.43589709,1761.66666139,2291.15384199,4672.94871886,3240.38461323,4446.28205170,2696.41025315,3199.35897214,7354.23077584,8090.12821326,1841.41025134,2513.20512453,2707.17948392,7947.94872580,86,170
30,202,4421.41025676,5328.20513050,4305.89743604,5699.10256716,3375.76922890,6018.46154222,4883.07692440,1404.99999396,4029.23076875,3603.07692169,6245.64102988,4746.92307797,6590.89744083,4531.53846217,142,152
164,41,6541.53846641,6797.17949260,7659.61539185,6732.43590272,7720.64103301,2806.79486874,6948.71795442,2495.38461171,5835.00000334,1273.33332701,601.66665896,1826.92307178,3032.30768974,5174.10256605,46,161
130,169,4431.02564145,6227.17949135,3047.05127948,3827.17948628,1219.10255771,7073.07692906,2009.48717477,1497.17948135,1542.43589167,3595.89743451,1629.10255855,5440.64102815,5894.74359322,1445.76922487,12,114
40,184,7537.05128900,4587.69230839,5691.92307998,3671.79487055,3540.12820360,176.15383754,5157.43589939,5489.23077188,1824.10255896,656.92306935,3914.87179418,4807.56410375,2023.84614912,1919.74358481,101,243
1,79,254.10255563,29.87178591,8115.38462359,3101.53845911,1131.79486520,1182.05127559,5309.35897659,879.23076208,5342.94872025,2355.12820110,1115.64101897,7712.69231499,8095.00000813,7471.92308374,66,148
32,34,3079.35897186,8132.30770051,8225.76923918,2554.61538101,7563.84616087,1649.99999451,1876.66666167,7511.41026329,254.35896589,1640.38460983,7101.53846759,2249.87179064,6015.89743965,6078.20513210,97,52
221,73,5610.89743875,4264.87179488,6010.89743965,7831.02564860,3518.97435745,1984.99999521,2673.58974026,2665.38461205,8348.84616254,934.99999299,6468.07692781,4811.28205247,7007.56410840,7824.23077681,223,24
