SampleNumber,number of,AF3,F7,F3,FC5,T7,P7,O1,O2,P8,T8,FC6,F4,F8,AF4,Zeros,Zeros_brdo
168,234,7813.84616142,5816.92308026,2214.35897005,4432.69230811,2839.23076625,5015.51282211,4032.30769183,7840.38462296,7716.02564840,3731.53846043,2258.07691884,2917.43589459,8087.17949531,5480.25641283,80,159
97,155,7743.71795609,2617.17948371,5939.23077278,6638.84615892,6035.38461914,1191.92307046,2497.94871427,1336.02563485,7292.17949365,2653.46153506,1617.17948162,3304.23076722,2203.84614954,7251.15385248,215,115
164,159,1448.97435307,2394.87179091,3753.46153742,4563.07692378,1705.25640484,1857.94871288,6668.71795386,3574.35897290,5228.84615593,225.76922223,2610.89743243,3223.46153631,1137.82050622,997.82050595,87,36
77,107,3721.15384505,1228.71794233,8204.74359809,6687.43590258,5038.46154013,1478.20512237,6232.56410674,6471.41026114,4283.58974366,2715.89743264,2170.51281614,2716.79486853,6165.38461942,4809.61538580,178,179
74,115,2616.15384268,618.33332562,3914.48717880,2009.74358502,6661.79487687,5926.02564457,2950.76922799,2954.87179217,6142.17949121,7668.07693031,4949.74359121,5256.79487395,570.38460761,7957.56411042,173,194
10,127,7612.43590453,3580.51281913,2588.33332979,3819.61538372,6531.41026128,121.15383740,2626.15384275,4543.84615448,2430.25640644,4811.53846272,2472.94871420,4375.00000028,1562.30768661,7178.46154465,71,42
10,69,2989.74358711,2399.23076534,3050.12820256,7781.79487930,226.66665812,1789.35896915,4684.87179578,6140.89743993,5212.82051484,1974.10255931,6567.05128699,8038.84616184,4366.02564131,5890.89743938,42,61
187,97,600.51281280,6018.71795247,5396.79487423,8337.17949587,2608.97435550,4265.51282052,5923.33333688,1346.79486568,7631.79487896,932.43589042,3640.12820381,5743.33333646,6818.97436440,709.99999250,210,120
109,188,4339.48717970,6076.15385005,3954.48717887,696.41024891,3727.69230658,3857.69230686,341.53845327,22.43588848,6999.23077507,238.58973512,274.48717108,5524.48718220,6074.48718338,5705.89743896,74,164
60,23,3720.38461428,5382.56410500,6941.41026211,4694.48718046,4079.35897402,800.64101835,2353.07691905,5980.38461907,5969.23077285,8308.71795734,2289.23076507,5347.17948948,4217.05128199,5584.48718234,78,147
90,178,4968.71795025,7002.43590328,5093.58974540,883.84614669,582.82050504,151.53845286,3878.58974283,8126.92308513,741.41024898,5277.94872011,1410.76922473,3253.20512612,4706.41025739,3877.56410180,120,103
79,176,3643.58974234,5869.74359315,1176.66666014,389.35896616,2338.58973956,6512.82051762,6047.94872177,2530.12820152,2126.66666215,1056.53845480,150.51281183,646.92306928,4322.05128219,1160.12819860,22,155
96,124,5425.00000251,843.07691585,8183.97436732,3692.94871677,5124.87179675,5779.61538789,5139.35897624,3409.23076743,2370.64102168,3905.25640950,6472.94872268,7972.69231555,7811.92308450,1724.61537927,240,7
20,53,8179.74359809,2398.07691919,3408.97435717,2338.20512418,186.02563241,6132.30769627,7851.66667431,8161.02564930,3711.28205017,820.38460809,7971.41026427,7892.43590515,2004.61537989,6509.23077403,176,104
