SampleNumber,number of,AF3,F7,F3,FC5,T7,P7,O1,O2,P8,T8,FC6,F4,F8,AF4,Zeros,Zeros_brdo
70,147,7885.64103336,4614.10256487,5949.61538823,3048.07692051,8289.87180342,1832.69230255,1946.79486693,1774.87178966,3326.79486985,7788.46154597,973.58973664,2026.79486707,921.02563401,3857.17948635,150,162
251,143,5409.10256654,7084.23077521,8010.00000799,5345.64102794,2901.28204844,1747.94871267,7240.00000633,7520.51282747,5779.48718276,6320.00000438,7924.23077702,4983.20512974,7681.15385345,3694.35897318,247,177
154,45,1235.64101925,6674.10256925,8298.97436753,672.69230012,94.99999118,2793.97435592,6114.48718345,4021.79487131,5388.33333577,1453.20512230,2321.28204719,2492.94871420,736.02563359,2315.38461129,156,228
108,136,794.61537732,7230.64103197,4603.71794949,1440.51281454,7871.53846919,6755.12821041,7277.69231409,2921.79486902,916.15383907,82.94870913,5724.87179800,6224.61538879,56.15383726,1007.94871107,255,144
116,148,7699.61539192,317.56409423,6487.43590216,7620.25641742,4605.76923154,4559.35897499,7295.38462185,7605.25641735,2565.38461184,3132.30768995,1120.12819853,2006.15384143,3041.28204871,1404.61537857,109,253
238,244,555.51281266,4581.66666737,6147.56410660,728.58973616,5221.02564311,5099.61538643,3090.12820270,6074.61538851,4190.89743576,475.51281253,2568.33332979,5252.56410472,2743.71794553,2408.84614996,153,157
207,13,5010.89743750,162.17947850,3244.99999785,6671.66667181,3115.89743347,2666.41025308,4285.51282059,6313.58974797,2962.43589473,4243.58974359,4907.05128344,5733.84615698,3695.64102446,22.30768335,154,110
172,157,6853.33333883,3378.84615197,3318.07692114,323.07691474,4579.35897506,4741.92307797,3167.17948489,7872.82052047,4283.20512828,6778.33333869,5587.69231055,7142.56410868,4883.71795004,7892.30770002,197,44
199,4,4458.58974401,6826.41026183,1995.51281572,7636.92308408,573.71794094,2100.64102113,2636.28204788,311.53845320,6321.28205566,520.76922285,844.74358252,6188.07692718,5467.43590001,7505.00000688,208,31
100,48,4947.69230916,2365.38461143,4132.69230742,2731.41025322,883.33332618,1902.43589244,4722.05128303,1921.28204635,1383.07691704,2419.61538073,7275.12821152,3242.56410041,3020.64102307,4490.64102613,227,163
203,198,5756.15384935,248.07691460,2110.25640574,3256.92307484,3504.23076764,2792.82050977,2793.58974054,329.48717122,3606.92307554,5878.33333681,2935.51281774,4879.61538594,2745.25640706,3807.69230679,249,39
9,36,4849.35897561,1255.64101932,0.51281155,6737.94872323,7746.02564846,7284.35898076,8057.30770037,7535.38462234,918.46153138,6108.20513217,6153.84615788,4682.30769321,1573.33332764,3886.92307616,138,92
121,181,8049.35898242,5153.58974554,5741.15384928,7308.33333980,5857.56410597,6273.20513252,4639.87179571,1891.15384115,2879.87179196,5967.43590105,4537.30769294,1910.89743097,635.89742826,7738.97436634,49,5
137,141,7651.28205851,7548.71795574,5265.51282267,2594.61538114,241.66665819,5836.02564436,2389.87179091,5176.79487374,1872.43589244,5031.79487347,6075.25641415,1104.23076256,7158.07692927,1784.74358454,230,84
14,109,5514.87179759,4370.38461567,8004.23077716,4055.25640984,4327.82051296,5739.23077236,4850.51282177,7564.48718651,4464.61538511,6670.00000515,587.17947940,8394.48718825,3518.46153694,5877.82051630,233,32
209,55,1291.15383990,2394.87179091,5893.20513168,3942.94871733,7987.56411049,2219.99999570,3450.51281885,5342.30769460,5133.46154034,2864.87179196,448.97435092,1818.46153332,7231.02564735,4030.25640977,184,188
94,61,8327.69231631,6535.64103051,4062.17948677,2136.41025197,6572.82051776,3699.74358857,5594.87179772,4355.38461560,8070.12821319,2086.79486721,2857.17948426,1350.64101953,430.25640220,5061.02564277,199,112
58,31,609.87178716,4392.05128233,2284.74358558,2243.84614961,6292.69231200,7309.35898083,5466.28205386,2186.92307255,5248.97436106,6635.38462046,7390.12821180,771.79486443,297.82050449,5217.69230971,48,15
182,193,1649.74358426,3078.20512571,4082.56410222,877.82050567,4250.25641026,2360.38461136,2084.61538003,2204.61538031,2701.28204802,5670.00000299,100.51281176,6451.79487645,6638.58974867,5823.33333667,82,224
133,2,3840.76922994,8041.02564909,1184.10255764,4286.41025648,8113.71795692,2689.23076590,8359.35898305,2838.33333035,6963.84615962,858.58973644,1664.10255862,4803.58974477,6280.89744021,878.46153131,59,218
104,12,5970.51282413,347.82050456,1834.74358461,5039.23077090,6657.82051790,659.23076166,6087.05128595,2983.46153576,6881.15385172,1194.10255764,7564.74359677,6426.66667126,4555.12820576,5387.30769474,252,244
242,229,4616.53846231,803.07691578,274.35896595,6175.64102974,2031.41025169,8197.82052116,4538.07692371,1890.64102064,979.99999306,7506.53846842,93.71793990,1375.51281440,3947.17948656,6528.58974839,40,250
68,0,2347.05127802,4740.51282156,4218.20512814,6751.92308221,6149.87179891,8076.92308506,447.56409451,4226.15384609,2215.38461108,4816.79487298,4928.07692454,6475.89744063,6292.69231200,28.07691412,169,73
135,56,59.48717060,6854.61539011,2861.53845862,193.71794011,6598.84615885,970.89742895,563.97435120,6249.10256835,7372.82051943,6957.05128775,75.12819631,6378.58974811,4299.87179501,831.02563380,110,70
167,155,1537.30768654,376.92306873,2092.30768773,4798.20512939,298.20511987,4214.99999993,3652.69230645,1587.94871232,2508.20512453,1261.02563471,3447.17948552,4453.07692350,6209.10256828,582.56409479,24,51
82,94,4942.05128351,8201.41026475,5351.66666903,7720.51282788,5621.02564395,5440.38461789,5681.92307998,5547.82051560,2656.53845814,5509.10256675,6461.15385081,202.30768376,1839.35896929,5602.69231055,180,131
147,159,5964.10256772,690.76922327,2700.76922751,804.74358245,3727.17948607,8315.25641888,3311.79486978,317.94870961,8066.79487986,6496.28205601,4162.82051262,4934.35897582,1737.30768696,6979.35898013,55,85
140,175,5161.41025836,6793.33333869,5462.05128463,6113.97436294,4286.53846161,6630.38462046,7619.61539178,6205.89744007,3585.76922938,4669.23077014,233.46152999,1789.87178966,4394.87179515,4291.28205136,222,141
216,253,7921.79487958,5502.30769495,2031.53845682,6779.61538997,4707.82051380,1405.12819909,2725.25640706,1173.58973706,118.07691433,85.51281169,7136.53846766,6157.05128609,897.43589035,2521.41025273,253,228
