SampleNumber,number of,AF3,F7,F3,FC5,T7,P7,O1,O2,P8,T8,FC6,F4,F8,AF4,Zeros,Zeros_brdo
204,217,5474.61538719,7835.12821271,5756.41025961,3029.35897179,507.43588952,4104.99999973,4099.99999966,7398.20513488,4222.56410250,2291.66666250,1077.17948044,7569.74359677,1075.76922403,7956.79487965,73,190
165,31,3454.74358808,4002.94871740,1993.20512341,7857.56411021,5346.92307922,3062.82051032,1906.53845661,4699.35897534,824.10255688,260.64101717,5146.53846342,5290.00000223,2654.61538121,1664.99999451,150,205
154,107,3508.33333174,5134.74359162,5332.56410486,1440.25640428,7534.87180182,5762.43590064,3857.69230686,4732.56410361,2811.92307387,2728.20512501,854.99999285,5977.94872164,7478.20513502,6402.56410715,120,170
112,223,6770.76923612,6167.69231173,4001.41025586,3604.87179349,1696.66666125,6868.33333890,3428.71794698,6507.30769711,5775.00000320,5329.23077153,1431.79486582,6213.84615802,6323.07692746,2482.43589369,28,185
177,54,2680.38461205,3275.12820305,4208.97435891,6594.48718442,1042.05127525,2335.51281649,2996.28204865,179.23076062,7465.25641707,4993.58974519,4341.28205149,3153.33333104,5600.38461824,8204.61539296,40,255
215,182,1064.87178814,2688.58974026,2275.64102148,5184.74359169,6383.84615837,2090.51281593,8340.25641895,5.64101668,1856.15384109,7866.79487944,1017.05127518,2053.97435432,3719.10256299,6339.74359419,124,117
192,156,2268.46153430,7879.10257182,2721.02563776,8236.28205969,3982.30769176,6870.00000556,5240.51282260,3520.51281899,8261.41026489,2006.92307220,154.87178619,3641.15384484,1634.74358419,7782.82052033,62,76
225,19,1544.48717379,7669.61539185,6219.87179904,2039.74358509,1895.89743090,4997.43589904,6403.71795331,3566.15384470,4125.51282024,429.10255605,2838.71794573,3587.30769092,7425.89744264,5335.00000230,122,224
166,233,5299.10256633,6015.12820888,2228.84614954,8080.64103377,2859.61538170,2751.41025322,365.64101745,1665.51281503,6906.79487743,7474.61539143,6121.92308089,4269.23076930,1581.66666104,2025.38461066,107,98
59,29,5176.15384810,2285.12820096,8108.58975179,3889.87179411,423.97435085,1315.25640408,4960.89743743,6628.07692808,61.41024752,4889.74359107,1942.82050796,2605.76922730,7499.10257099,5028.07692475,56,136
67,138,216.53845300,6132.82051679,6176.15385026,6411.41026100,3764.23076819,7428.20513495,3453.33333167,6137.69231173,5638.20513113,7780.64103315,5037.43589911,372.56409437,5980.38461907,5959.10256772,32,182
222,68,3633.07692176,2807.43589438,8029.35898235,3108.58974116,7341.79487833,5955.51282413,2308.97435488,6062.43590126,5182.17948913,4591.02564172,6235.64102981,3839.61538372,7918.71795650,5056.02564277,227,218
204,229,1174.10255757,152.17947850,7385.00000667,8066.41026447,7487.30769919,3630.51281920,7080.25641624,8126.41026461,7864.48718713,6804.10256953,2864.35897144,4954.74359121,1736.28204594,2302.56409847,180,108
52,72,7490.64103252,1641.53845605,4390.51282079,8279.35898291,2002.17948246,5782.43590071,7900.51282823,3713.20512710,4887.17948850,4258.97435898,1944.48717463,1065.76922403,2616.41025294,3166.28204899,158,200
5,237,7591.28205837,2176.53845716,1486.15384032,6594.61538955,3283.97435696,5874.23077264,4805.12820631,4406.28205163,6170.00000403,1368.33332722,1988.84614906,7082.69231367,2961.92307422,292.30768390,4,192
4,81,6781.79487715,4144.10256390,6487.43590216,7953.71795657,4816.53846272,2143.58973915,1185.64101918,1809.61537948,3115.64102321,7428.97436572,4285.51282059,683.07691551,7019.23077507,5655.51282350,45,18
197,117,8132.69231590,7859.74359739,5455.38461796,5255.89743806,2041.66666201,71.02563220,6302.94872233,2855.76922785,930.89742888,69.48717067,295.64101731,6059.87179870,5573.58974637,3255.25640818,173,197
137,115,3956.92307630,6244.61538886,6669.10256925,3808.46153756,5652.43590043,501.66665875,6344.61538907,7932.05128984,3495.25640866,6326.02564541,2368.84614989,6734.74359503,6490.00000473,3522.30769078,27,74
184,193,1669.10255862,3973.84615329,4580.76923147,1935.89743097,2593.46153499,3885.51281975,2068.46153388,3036.28204871,5057.69230943,7442.30769905,6289.23077354,5703.58974665,8101.28205942,4614.10256487,77,233
78,11,4061.79487138,4612.17948795,7363.46154507,6231.15385033,1541.28204552,3857.43589661,8221.15385457,4542.43589807,8295.12821368,8153.33334161,8186.79488014,8234.23077764,3115.64102321,3744.99999896,134,229
