SampleNumber,number of,AF3,F7,F3,FC5,T7,P7,O1,O2,P8,T8,FC6,F4,F8,AF4,Zeros,Zeros_brdo
40,199,5122.30769419,1832.17948204,5592.82051567,7888.33334105,5080.00000174,6377.30769683,1847.94871288,1396.02563498,3075.38461289,6947.05128775,1461.28204538,924.99999299,5023.97436065,4161.15384595,68,12
182,106,8039.74359774,2412.69230380,6628.84615885,6898.07692871,6986.28205705,4510.00000056,8264.87180335,2312.56409847,4085.51282017,830.25640303,1064.99999326,4695.00000098,2409.23076534,2005.12820041,163,196
241,152,3882.56410180,4866.53846286,833.33332611,1040.89742909,1659.99999451,4682.30769321,2711.92307366,3264.35897228,1808.84614871,206.15383761,1559.23076354,3423.33333160,6344.23077368,5487.94872059,220,156
22,53,6675.38462053,4072.05128171,4790.25641137,3051.66666410,213.58973505,698.84614635,2125.51281600,7359.87180148,2920.12820228,3289.35897235,7040.38462129,307.05127372,7866.28205893,6174.35897846,234,73
91,65,591.28204357,5141.15384803,4456.66666709,1569.48717379,2182.17948281,1353.58973748,246.92306845,5306.66666889,547.69229984,3623.58974227,5054.10256577,3011.28204865,1937.05127719,459.87178688,28,163
211,55,6658.07692815,1970.51281572,2371.41025245,6166.28205532,3023.20512564,6060.64102947,2785.25640713,3666.92307568,7918.58975138,6975.25641603,6427.05128664,3481.28204969,1759.48717421,3783.46153749,70,59
203,72,3007.56409993,6353.97436343,6380.51282503,3051.28204871,534.23076138,1239.61537823,2085.51281593,4388.07692336,3488.58974200,3978.58974304,5180.76923272,589.23076145,7191.28205754,7609.48718658,128,147
73,90,6259.74359399,7670.25641749,4831.41025766,6539.87179974,1234.74358335,3953.20512758,2843.33333035,7235.64103197,7176.15385234,7340.89744243,217.05127351,2228.71794441,414.23076110,479.61537663,251,6
149,12,1628.71794316,5065.89743764,5245.25641234,7647.17949441,3399.74358794,621.28204357,5411.15384859,6192.94872205,6521.92308172,1439.99999403,2834.61538163,6154.74359378,7927.94872574,6968.97436475,197,219
78,53,7080.89744188,233.33332486,2768.58974047,7822.56411014,5324.35897666,2004.35896964,1194.48717303,8193.97436732,7059.87180085,4263.46153847,7877.05128977,8282.05129060,720.51281301,4100.89743555,70,226
219,107,7573.97436600,4922.43589883,7129.48718561,5179.35897631,7810.51282802,8252.43590592,7074.74359572,6692.05128720,4274.23076930,392.43588924,7547.43590439,5507.17948982,7131.79487791,765.64101828,41,217
170,19,5128.71795060,2730.76922758,6369.10256862,4701.92307790,6501.28205608,2537.05127844,2924.74358697,4656.02564186,5204.23077125,4054.48717907,4996.53846314,1807.43589230,960.38460844,6300.38461970,204,63
67,62,1839.10255903,3105.38461296,2490.89743215,3022.69230513,6029.61538837,6812.17949260,6527.30769711,3159.61538233,3512.69230617,5676.02564402,5454.35897693,4303.46153860,716.92306942,4250.89743590,127,205
202,24,7066.15385213,7923.07693086,6329.35897874,3888.33333257,3810.12820423,4820.12820631,2081.66666208,2038.58973894,6281.92308124,127.82050407,4484.74359023,6627.69231270,8077.17949531,3210.12820291,27,208
137,111,7422.05128880,4984.74359128,7919.10257189,1959.48717463,7022.05128789,3175.25640797,2240.51281628,1317.94871177,7434.10257085,3953.71794810,2187.69230332,562.43588966,7855.12821278,7406.53846821,146,116
27,183,8179.23077757,4515.12820569,5837.56410590,350.64101738,1594.23076361,3576.53846008,1418.71794275,3865.64102481,2821.41025336,5577.30769509,2568.07691954,6390.64103016,4688.97435988,7447.94872469,95,126
152,26,1494.10255827,7706.02564833,6262.05128629,2901.92307408,5838.71795206,5598.20513106,247.05127358,6104.61538858,7234.74359607,2264.35897012,473.46153047,1919.10255917,7017.69231353,3097.05127962,53,60
204,67,5957.17949080,7607.05128914,1736.79486645,1253.33332701,2645.51281711,6438.97436363,2620.12820166,5338.97436127,1691.15384074,4428.20512856,3247.17948503,7259.48718588,1577.94871232,3222.43589529,143,212
